date_iso,date,title,content,image,video
2020-05-14T17:00:00,"14 mai 2020 à 17:00","Devenez un soutien du projet #entoijevoisdemain via notre page Tipeee et votez pour les 4 Live bonus que nous avons d...","Devenez un soutien du projet #entoijevoisdemain via notre page Tipeee et votez pour les 4 Live bonus que nous avons débloqués grâce aux 300€/mensuel !\n📣Soutenez-nous dès 2€ par mois pour avoir accès :\n✅ au vote\n✅ aux vidéos bonus\n✅ et plus encore...\nhttps://zcu.io/NqJU","photos_and_videos/Photosdujournal_Eix909TVeA/97872972_280214350038438_5138720592031121408_o_280214340038439.jpg",""
2020-05-14T08:50:00,"14 mai 2020 à 08:50","Un 🔴Live qui met en avant la qualité de ce titre de #DuranDuran. Une 12e vidéo #entoijevoisdemain à bientôt passer la...","Un 🔴Live qui met en avant la qualité de ce titre de #DuranDuran. Une 12e vidéo #entoijevoisdemain à bientôt passer la barre des 1000 vues ! Faites tourner !  https://zcu.io/aulTMis à jour : 14 mai 2020 à 08:50","",""
2020-05-13T17:00:00,"13 mai 2020 à 17:00","📣N'oubliez pas d'utiliser nos PLAYLISTS pour écouter le projet #entoijevoisdemain partout !","📣N'oubliez pas d'utiliser nos PLAYLISTS pour écouter le projet #entoijevoisdemain partout !\n▶ Live (25 titres)\n▶ Vlog (26 Vlogs)\n▶ Phase 1 : l'enfance (10 titres)\n▶ Phase 2 : l'adolescence (10 titres)\n▶ SARRO (3 titres)\nhttps://www.youtube.com/channel/UCUk5S6DoQZzZ7g-WwHiUYjQ/playlists","photos_and_videos/Photosdujournal_Eix909TVeA/97126976_279432863449920_6078648874518446080_o_279432860116587.jpg",""
2020-05-13T08:50:00,"13 mai 2020 à 08:50","Samedi prochain dans #entoijevoisdemain, on retrouve David ""Byssus"" Mignot au piano pour accompagner Nico Sarro sur u...","Samedi prochain dans #entoijevoisdemain, on retrouve David ""Byssus"" Mignot au piano pour accompagner Nico Sarro sur un titre inédit !\n\nOn parlera des premières compositions de Nico, des interrogations et des opportunités qui finiront par le mener au groupe #SARRO.\nA samedi !","photos_and_videos/Photosdujournal_Eix909TVeA/97170471_279163120143561_2649511775250153472_o_279163116810228.jpg",""
2020-05-12T17:30:00,"12 mai 2020 à 17:30","#Radiohead #Lucky","#Radiohead #Lucky\n🙏MERCI ! Une nouvelle vidéo #entoijevoisdemain qui franchit les 1k vues ! ⤵ \nhttps://zcu.io/t9si","photos_and_videos/Photosdujournal_Eix909TVeA/96870433_278689906857549_2272886836093255680_o_278689900190883.jpg",""
2020-05-12T08:50:00,"12 mai 2020 à 08:50","""On commence tout doucement à entrer dans le ""pourquoi"" !"" Le message de félicitations pour ce Vlog envoyé par l'ex-m...","""On commence tout doucement à entrer dans le ""pourquoi"" !"" Le message de félicitations pour ce Vlog envoyé par l'ex-manageur  de #Sarro ... ▶ 20 minutes passionnantes et touchantes sur le 2e groupe de Nico Sarro ⤵  https://zcu.io/JivRMis à jour : 12 mai 2020 à 08:50","",""
2020-05-11T17:03:00,"11 mai 2020 à 17:03","📣🙂La vérité d'une excellente chanson !","📣🙂La vérité d'une excellente chanson !\nAprès un démarrage lent pour ce 🔴Live #25 (c'est quoi Swim ?), les vues lui permettent de remonter plusieurs places au classement des derniers lives #entoijevoisdemain.\nSi vous aussi vous aimez, par#tagez !","photos_and_videos/Photosdujournal_Eix909TVeA/97759785_277802426946297_6552629886073176064_o_277802416946298.jpg",""
2020-05-11T08:50:00,"11 mai 2020 à 08:50","Derrière le neo-metal, déjà un sens mélodique incroyable ! Découvrez ce 🔴Live puissant en #unplugged Par Nico Sarro p...","Derrière le neo-metal, déjà un sens mélodique incroyable ! Découvrez ce 🔴Live puissant en #unplugged Par Nico Sarro pour #entoijevoisdemain ⤵  https://zcu.io/PbUUMis à jour : 11 mai 2020 à 08:50","",""
2020-05-10T19:00:00,"10 mai 2020 à 19:00","Vous avez aimé l'histoire et le son de #Swim ce week-end ?","Vous avez aimé l'histoire et le son de #Swim ce week-end ?\nLa suite :\n✅ La semaine prochaine : un vieux titre 100% inédit de Nico Sarro que personne n'a entendu ou presque !\n✅ Samedi 23 mai  : quand Björk aime la voix de Nico Sarro.\n✅ Vendredi 29 mai : Jeff Buckley... hommage.","photos_and_videos/Photosdujournal_Eix909TVeA/96691446_277143537012186_260622747279818752_o_277143533678853.jpg",""
2020-05-10T09:30:00,"10 mai 2020 à 09:30","😢 Sincère hommage de Charly et toute l'équipe de Swim à Jean-Paul Passot, qui fut un des piliers de @[467477500091812...","😢 Sincère hommage de Charly et toute l'équipe de Swim à Jean-Paul Passot, qui fut un des piliers de @[467477500091812:274:Fa Musique] et un ingénieur du son incontournable du rock alternatif français, décédé brutalement d'un cancer à 40 ans. A la fin du vlog ⤵  https://zcu.io/YQatMis à jour : 10 mai 2020 à 09:30","",""
2020-05-10T09:11:00,"10 mai 2020 à 09:11","Voici le live 1 de Nico Sarro dans le cadre du projet #entoijevoisdemain qui en compte désormais 25... A écouter jusq...","Voici le live 1 de Nico Sarro dans le cadre du projet #entoijevoisdemain qui en compte désormais 25... A écouter jusque bout tellement le final est scotchant. https://youtu.be/ujMhkbxV6Ng","",""
2020-05-09T19:00:00,"9 mai 2020 à 19:00","","","",""
2020-05-09T11:23:00,"9 mai 2020 à 11:23","A 25 ans, cet artiste composait déjà de véritables tubes en puissance... 20 ans après, il rejoue ce titre ! Magnifiqu...","A 25 ans, cet artiste composait déjà de véritables tubes en puissance... 20 ans après, il rejoue ce titre ! Magnifique ! https://www.youtube.com/watch?v=v1kvsqBZ1Y4","",""
2020-05-09T10:49:00,"9 mai 2020 à 10:49","A 25 ans, cet artiste composait déjà de véritables tubes en puissance... 20 ans après, il rejoue ce titre ! Magnifiqu...","A 25 ans, cet artiste composait déjà de véritables tubes en puissance... 20 ans après, il rejoue ce titre ! Magnifique ! https://www.youtube.com/watch?v=v1kvsqBZ1Y4","",""
